PatientID,status,runtime,number_of_candidates_evaluated,number_of_counterfactuals,number_of_changed_features
20,NO_PREDICTION_FLIP,0.2118445000378415,2,0,
27,NO_PREDICTION_FLIP,0.1812581999693066,1,0,
32,NO_PREDICTION_FLIP,0.20541019999654964,2,0,
35,NO_PREDICTION_FLIP,0.20945699996082112,2,0,
44,NO_PREDICTION_FLIP,0.23391939996508881,3,0,
48,NO_PREDICTION_FLIP,0.18195870000636205,1,0,
50,NO_PREDICTION_FLIP,0.20817719999467954,2,0,
51,NO_PREDICTION_FLIP,0.20894629997201264,2,0,
52,NO_PREDICTION_FLIP,0.18128700001398101,1,0,
53,NO_PREDICTION_FLIP,0.2301436999696307,3,0,
57,NO_PREDICTION_FLIP,0.20878679997986183,2,0,
74,NO_PREDICTION_FLIP,0.2590545999701135,4,0,
76,NO_PREDICTION_FLIP,0.23365469998680055,3,0,
77,NO_PREDICTION_FLIP,0.18384380004135892,1,0,
81,NO_PREDICTION_FLIP,0.20719210000243038,2,0,
84,NO_PREDICTION_FLIP,0.26697380002588034,4,0,
87,NO_PREDICTION_FLIP,0.17997559998184443,1,0,
89,NO_PREDICTION_FLIP,0.2312044000136666,3,0,
97,NO_PREDICTION_FLIP,0.207448499975726,2,0,
103,NO_PREDICTION_FLIP,0.23555209999904037,1,0,
122,NO_PREDICTION_FLIP,0.36350149998907,3,0,
125,NO_PREDICTION_FLIP,0.28400450001936406,1,0,
133,NO_PREDICTION_FLIP,0.32143860001815483,2,0,
137,NO_PREDICTION_FLIP,0.3004254999686964,3,0,
138,NO_PREDICTION_FLIP,0.20813849999103695,2,0,
139,NO_PREDICTION_FLIP,0.23479180003050715,3,0,
169,NO_PREDICTION_FLIP,0.20774109999183565,2,0,
186,NO_PREDICTION_FLIP,0.2366755999973975,3,0,
196,NO_PREDICTION_FLIP,0.2336860000505112,2,0,
208,NO_PREDICTION_FLIP,0.3676504999748431,3,0,
212,NO_PREDICTION_FLIP,0.2764418000006117,1,0,
219,NO_PREDICTION_FLIP,0.1815731000388041,1,0,
234,NO_PREDICTION_FLIP,0.23339130001841113,3,0,
239,NO_PREDICTION_FLIP,0.23920660000294447,3,0,
247,NO_PREDICTION_FLIP,0.18139650003286079,1,0,
248,NO_PREDICTION_FLIP,0.18192280002404004,1,0,
249,NO_PREDICTION_FLIP,0.21181060001254082,2,0,
253,NO_PREDICTION_FLIP,0.21011669997824356,2,0,
255,NO_PREDICTION_FLIP,0.20960050000576302,2,0,
256,NO_PREDICTION_FLIP,0.1779806000413373,1,0,
264,NO_PREDICTION_FLIP,0.18115190003300086,1,0,
272,NO_PREDICTION_FLIP,0.20960740000009537,2,0,
288,NO_PREDICTION_FLIP,0.18902150000212714,1,0,
289,NO_PREDICTION_FLIP,0.3289969000034034,4,0,
296,NO_PREDICTION_FLIP,0.2441736000473611,2,0,
297,NO_PREDICTION_FLIP,0.23634620005032048,3,0,
300,NO_PREDICTION_FLIP,0.21061130001908168,2,0,
303,NO_PREDICTION_FLIP,0.2399674000334926,3,0,
317,NO_PREDICTION_FLIP,0.24145229998975992,3,0,
320,NO_PREDICTION_FLIP,0.29946860001655295,3,0,
324,NO_PREDICTION_FLIP,0.18651220004539937,1,0,
325,NO_PREDICTION_FLIP,0.2058561000158079,2,0,
326,NO_PREDICTION_FLIP,0.2114224000251852,2,0,
327,NO_PREDICTION_FLIP,0.21128789999056607,2,0,
352,NO_PREDICTION_FLIP,0.23655260005034506,3,0,
360,NO_PREDICTION_FLIP,0.2319050999940373,3,0,
361,NO_PREDICTION_FLIP,0.23783319996437058,3,0,
362,NO_PREDICTION_FLIP,0.23730999999679625,3,0,
367,NO_PREDICTION_FLIP,0.18345180002506822,1,0,
374,NO_PREDICTION_FLIP,0.1829153000144288,1,0,
386,NO_PREDICTION_FLIP,0.25814309995621443,4,0,
393,NO_PREDICTION_FLIP,0.18442340003093705,1,0,
402,NO_PREDICTION_FLIP,0.23877809999976307,3,0,
405,NO_PREDICTION_FLIP,0.18124389997683465,1,0,
407,NO_PREDICTION_FLIP,0.20694600004935637,2,0,
431,NO_PREDICTION_FLIP,0.2370600999565795,3,0,
434,NO_PREDICTION_FLIP,0.2590491000446491,4,0,
435,NO_PREDICTION_FLIP,0.23849820002214983,3,0,
447,NO_PREDICTION_FLIP,0.2132761999964714,2,0,
451,NO_PREDICTION_FLIP,0.2279947999631986,1,0,
455,NO_PREDICTION_FLIP,0.25718730001244694,1,0,
461,NO_PREDICTION_FLIP,0.20801280002342537,2,0,
467,NO_PREDICTION_FLIP,0.2304100999608636,3,0,
475,NO_PREDICTION_FLIP,0.20920009998371825,2,0,
494,NO_PREDICTION_FLIP,0.2333941999822855,3,0,
495,NO_PREDICTION_FLIP,0.23505120002664626,3,0,
498,NO_PREDICTION_FLIP,0.2351953000179492,3,0,
518,NO_PREDICTION_FLIP,0.20756489998893812,2,0,
528,NO_PREDICTION_FLIP,0.21022339997580275,2,0,
535,NO_PREDICTION_FLIP,0.18850170000223443,1,0,
539,NO_PREDICTION_FLIP,0.26028450002195314,4,0,
541,NO_PREDICTION_FLIP,0.1862354000331834,1,0,
