PatientID,status,runtime,number_of_candidates_evaluated,number_of_counterfactuals,number_of_changed_features
20,NO_PREDICTION_FLIP,0.8784181000082754,1,0,
27,NO_PREDICTION_FLIP,0.8476492000045255,1,0,
32,NO_PREDICTION_FLIP,0.8887745999963954,2,0,
35,NO_PREDICTION_FLIP,0.8861191000323743,2,0,
44,NO_PREDICTION_FLIP,0.9269455000176094,3,0,
48,NO_PREDICTION_FLIP,0.8639523999881931,1,0,
50,NO_PREDICTION_FLIP,0.8807754999725148,2,0,
51,NO_PREDICTION_FLIP,0.9638193999999203,1,0,
52,NO_PREDICTION_FLIP,0.8711696999962442,2,0,
53,NO_PREDICTION_FLIP,0.8525374000309967,1,0,
57,NO_PREDICTION_FLIP,0.9601418999955058,4,0,
74,NO_PREDICTION_FLIP,0.9314191000303254,3,0,
76,NO_PREDICTION_FLIP,0.8845805000164546,1,0,
77,NO_PREDICTION_FLIP,1.0114840000169352,2,0,
81,NO_PREDICTION_FLIP,1.0120497000170872,6,0,
84,NO_PREDICTION_FLIP,1.207982300024014,4,0,
87,NO_PREDICTION_FLIP,1.0656489999964833,1,0,
89,NO_PREDICTION_FLIP,0.8913076000171714,1,0,
97,NO_PREDICTION_FLIP,0.8878292000154033,1,0,
103,NO_PREDICTION_FLIP,0.9031439999816939,1,0,
122,NO_PREDICTION_FLIP,0.9661476000328548,3,0,
125,NO_PREDICTION_FLIP,0.8970247999532148,1,0,
133,NO_PREDICTION_FLIP,0.963810299988836,4,0,
137,NO_PREDICTION_FLIP,0.9326708000153303,5,0,
138,NO_PREDICTION_FLIP,0.9075422000023536,2,0,
139,NO_PREDICTION_FLIP,1.0326667000190355,3,0,
169,NO_PREDICTION_FLIP,1.0384233999648131,1,0,
186,NO_PREDICTION_FLIP,1.1469792999560013,3,0,
196,NO_PREDICTION_FLIP,0.9116434000316076,1,0,
208,NO_PREDICTION_FLIP,0.9715176000026986,3,0,
212,NO_PREDICTION_FLIP,0.9069682999979705,1,0,
219,NO_PREDICTION_FLIP,0.9368028999888338,2,0,
234,NO_PREDICTION_FLIP,0.9636614000191912,3,0,
239,NO_PREDICTION_FLIP,0.9074110999936238,1,0,
247,NO_PREDICTION_FLIP,0.9353925999603234,2,0,
248,NO_PREDICTION_FLIP,0.9065308999852277,1,0,
249,NO_PREDICTION_FLIP,0.9343918999657035,2,0,
253,NO_PREDICTION_FLIP,0.9038886000053026,1,0,
255,NO_PREDICTION_FLIP,0.9246334999916144,2,0,
256,NO_PREDICTION_FLIP,0.9058848000131547,1,0,
264,NO_PREDICTION_FLIP,0.9271480000461452,2,0,
272,NO_PREDICTION_FLIP,0.9254991000052541,2,0,
288,NO_PREDICTION_FLIP,0.9663219000212848,3,0,
289,NO_PREDICTION_FLIP,0.921982100000605,2,0,
296,NO_PREDICTION_FLIP,0.8980413000099361,1,0,
297,NO_PREDICTION_FLIP,0.9224522999720648,2,0,
300,NO_PREDICTION_FLIP,0.9452794000389986,3,0,
303,NO_PREDICTION_FLIP,0.9541182000539266,3,0,
317,NO_PREDICTION_FLIP,0.9827413999591954,2,0,
320,NO_PREDICTION_FLIP,0.9746879999875091,4,0,
324,NO_PREDICTION_FLIP,0.9017218999797478,1,0,
325,NO_PREDICTION_FLIP,0.9362290000426583,3,0,
326,NO_PREDICTION_FLIP,0.9239311999990605,2,0,
327,NO_PREDICTION_FLIP,1.0451763999881223,2,0,
352,NO_PREDICTION_FLIP,1.3110307999886572,4,0,
360,NO_PREDICTION_FLIP,0.9750485999975353,4,0,
361,NO_PREDICTION_FLIP,1.041266500018537,4,0,
362,NO_PREDICTION_FLIP,1.0061008000047877,3,0,
367,NO_PREDICTION_FLIP,0.8908399000065401,1,0,
374,NO_PREDICTION_FLIP,0.9254511999897659,1,0,
386,NO_PREDICTION_FLIP,0.9680435999762267,2,0,
393,NO_PREDICTION_FLIP,1.106394000002183,1,0,
402,NO_PREDICTION_FLIP,0.9709195999894291,4,0,
405,NO_PREDICTION_FLIP,1.0249543999671005,1,0,
407,NO_PREDICTION_FLIP,0.9245523000136018,2,0,
431,NO_PREDICTION_FLIP,0.9243589999969117,4,0,
434,NO_PREDICTION_FLIP,0.9782174999709241,4,0,
435,NO_PREDICTION_FLIP,1.131608400028199,1,0,
447,NO_PREDICTION_FLIP,1.3256950000068173,3,0,
451,NO_PREDICTION_FLIP,1.0009288999717683,2,0,
455,NO_PREDICTION_FLIP,0.9090609999839216,1,0,
461,NO_PREDICTION_FLIP,1.1307457000366412,3,0,
467,NO_PREDICTION_FLIP,0.898648900038097,1,0,
475,NO_PREDICTION_FLIP,0.8931369999772869,1,0,
494,NO_PREDICTION_FLIP,0.8770290999673307,1,0,
495,NO_PREDICTION_FLIP,0.9109743000008166,2,0,
498,NO_PREDICTION_FLIP,0.9783421999891289,3,0,
518,NO_PREDICTION_FLIP,0.9518266000086442,3,0,
528,NO_PREDICTION_FLIP,0.9011075000162236,1,0,
535,NO_PREDICTION_FLIP,0.9428445000085048,2,0,
539,NO_PREDICTION_FLIP,0.9589937000419013,2,0,
541,NO_PREDICTION_FLIP,0.9692347000236623,1,0,
