PatientID,split
56,train
308,train
224,train
356,train
322,train
241,train
416,train
287,train
78,train
233,train
277,train
217,train
68,train
113,train
179,train
260,train
351,train
419,train
463,train
281,train
172,train
284,train
104,train
176,train
227,train
236,train
90,train
500,train
180,train
333,train
321,train
353,train
216,train
101,train
519,train
458,train
66,train
232,train
391,train
266,train
515,train
292,train
471,train
396,train
229,train
110,train
388,train
404,train
2,train
206,train
205,train
439,train
121,train
438,train
19,train
335,train
399,train
132,train
469,train
423,train
276,train
54,train
29,train
184,train
168,train
354,train
131,train
142,train
331,train
268,train
85,train
21,train
177,train
409,train
8,train
328,train
444,train
223,train
295,train
514,train
432,train
228,train
25,train
39,train
210,train
147,train
174,train
257,train
153,train
24,train
13,train
245,train
213,train
33,train
509,train
73,train
358,train
522,train
117,train
304,train
16,train
380,train
215,train
200,train
398,train
61,train
199,train
67,train
301,train
429,train
167,train
41,train
237,train
428,train
448,train
42,train
521,train
483,train
307,train
130,train
222,train
269,train
394,train
366,train
332,train
286,train
446,train
507,train
70,train
15,train
156,train
181,train
334,train
397,train
526,train
513,train
468,train
161,train
189,train
355,train
38,train
315,train
3,train
26,train
511,train
470,train
436,train
270,train
389,train
414,train
197,train
118,train
310,train
201,train
533,train
302,train
433,train
373,train
453,train
363,train
162,train
364,train
424,train
115,train
488,train
400,train
152,train
69,train
129,train
155,train
151,train
420,train
382,train
534,train
474,train
204,train
127,train
375,train
71,train
166,train
311,train
485,train
512,train
231,train
135,train
31,train
282,train
440,train
11,train
445,train
460,train
18,train
540,train
421,train
342,train
390,train
120,train
378,train
493,train
323,train
318,train
170,train
148,train
30,train
501,train
143,train
285,train
381,train
278,train
194,train
530,train
265,train
107,train
95,train
392,train
490,train
338,train
193,train
430,train
4,train
43,train
164,train
442,train
171,train
529,train
473,train
91,train
412,train
370,train
160,train
195,train
173,train
497,train
481,train
531,train
336,train
298,train
14,train
259,train
384,train
408,train
119,train
183,train
163,train
158,train
252,train
359,train
267,train
226,train
7,train
109,train
345,train
55,train
369,train
346,train
36,train
175,train
418,train
100,train
449,train
499,train
426,train
411,train
218,train
459,train
306,train
99,train
190,train
261,train
145,train
343,train
187,train
12,train
383,train
313,train
182,train
348,train
128,train
454,train
58,train
34,train
238,train
283,train
75,train
244,train
92,train
417,train
372,train
305,train
280,train
157,train
377,train
86,train
191,train
40,train
112,train
437,train
379,train
484,train
5,train
387,train
105,train
489,train
496,train
165,train
106,train
242,train
487,train
254,train
263,train
441,train
341,train
83,train
480,train
72,train
290,train
88,train
65,train
271,train
94,train
517,train
275,train
214,train
532,train
350,train
456,train
154,train
102,train
319,train
450,train
476,train
6,train
45,train
114,train
221,train
141,train
211,train
134,train
262,train
279,train
80,train
527,train
116,train
385,train
492,train
207,train
185,train
524,train
401,train
371,train
347,train
340,train
243,train
443,train
10,train
294,train
329,train
46,train
395,train
464,train
23,train
37,train
49,train
299,train
291,train
314,train
146,train
123,train
406,train
427,train
486,train
337,train
410,train
415,train
316,train
198,train
258,train
140,train
368,validation
520,validation
466,validation
108,validation
9,validation
457,validation
525,validation
349,validation
516,validation
192,validation
235,validation
22,validation
59,validation
273,validation
376,validation
478,validation
96,validation
413,validation
79,validation
330,validation
47,validation
365,validation
472,validation
503,validation
482,validation
510,validation
220,validation
504,validation
462,validation
339,validation
250,validation
136,validation
202,validation
508,validation
111,validation
538,validation
64,validation
293,validation
93,validation
246,validation
63,validation
1,validation
28,validation
523,validation
251,validation
357,validation
178,validation
188,validation
452,validation
149,validation
240,validation
505,validation
502,validation
477,validation
159,validation
144,validation
274,validation
60,validation
422,validation
203,validation
536,validation
425,validation
209,validation
479,validation
150,validation
124,validation
312,validation
17,validation
225,validation
506,validation
230,validation
309,validation
537,validation
491,validation
344,validation
403,validation
98,validation
126,validation
465,validation
62,validation
82,validation
541,test
325,test
386,test
57,test
20,test
518,test
87,test
327,test
247,test
138,test
317,test
35,test
297,test
139,test
255,test
77,test
495,test
27,test
289,test
44,test
97,test
84,test
447,test
475,test
253,test
367,test
362,test
186,test
74,test
374,test
249,test
407,test
402,test
248,test
393,test
498,test
234,test
272,test
539,test
435,test
137,test
431,test
296,test
50,test
208,test
320,test
219,test
133,test
51,test
461,test
239,test
53,test
81,test
451,test
32,test
122,test
212,test
352,test
455,test
303,test
89,test
326,test
324,test
256,test
360,test
52,test
103,test
196,test
125,test
405,test
288,test
48,test
434,test
264,test
361,test
76,test
467,test
300,test
535,test
494,test
528,test
169,test
